order_id,customer_id,restaurant_id,rider_id,order_date,item_count,food_amount,delivery_fee,delivery_minutes,rating,payment_method
1,164,13,28,2025-10-25,1,"₦4,000",600,53,5,Wallet
3,39,12,14,2025-09-25,1,"₦3,500",1000,32,5,Card
5,44,7,11,2025-07-22,3,"₦3,600",1000,18,5,Bank Transfer
6,120,5,10,2025-06-13,2,"₦8,400",800,68,3,Bank Transfer
8,76,35,18,2025-02-26,5,"₦11,700",1500,54,5,Card
10,93,8,15,2025-06-06,3,"₦3,600",800,26,3,Bank Transfer
12,165,37,23,2025-09-20,5,"₦11,700",500,60,4,Wallet
14,54,16,14,2025-03-07,1,"₦4,500",1000,21,4,Cash
15,104,7,28,2025-06-05,4,"₦7,700",1200,29,5,Bank Transfer
17,199,21,27,2025-07-24,6,"₦6,000",800,70,4,Wallet
18,100,31,12,2025-04-13,3,"₦9,000",1000,31,2,Card
20,174,23,30,2025-10-31,4,"₦3,300",1000,31,5,Card
27,107,29,12,2025-08-31,6,"₦36,000",1500,64,3,Wallet
29,49,21,19,2025-08-17,3,"₦13,500",500,60,5,Bank Transfer
30,170,12,7,2025-04-17,4,"₦6,600",1000,61,1,Cash
34,68,8,10,2025-09-30,4,"₦16,500",500,33,4,Wallet
35,37,13,9,2025-07-11,2,"₦6,300",800,45,5,Bank Transfer
38,145,4,29,2025-03-02,4,"₦4,400",1200,28,4,Bank Transfer
41,66,10,18,2025-11-29,2,"₦2,100",600,56,5,Cash
44,120,40,4,2025-10-10,1,"₦7,500",1500,23,5,Cash
45,62,9,16,2025-11-19,4,"₦5,500",600,62,4,Card
46,105,33,30,2025-04-06,6,"₦15,000",700,19,4,Card
47,151,18,27,2025-07-20,3,"₦5,400",500,29,3,Card
49,32,1,30,2025-05-02,6,"₦18,000",700,65,5,Bank Transfer
53,31,11,17,2025-03-31,6,"₦9,000",1500,31,5,Card
56,149,34,4,2025-08-04,3,"₦9,000",800,70,5,Cash
