order_id,customer_id,restaurant_id,rider_id,order_date,item_count,food_amount,delivery_fee,delivery_minutes,rating,payment_method
4,194,29,18,2024-11-05,5,"₦15,600",800,62,5,Card
11,30,22,24,2024-01-16,1,"₦9,000",800,42,5,Bank Transfer
16,72,19,21,2024-07-04,1,"₦3,000",1200,53,4,Bank Transfer
19,41,6,4,2024-11-21,4,"₦16,500",600,33,5,Cash
22,103,14,29,2024-03-12,1,"₦12,000",600,59,5,Bank Transfer
23,5,4,2,2024-01-26,4,"₦3,300",600,58,4,Wallet
26,131,16,10,2024-04-05,5,"₦15,600",600,58,4,Wallet
28,197,19,19,2024-09-25,6,"₦36,000",1000,31,5,Card
36,156,40,22,2024-01-22,6,"₦12,000",500,27,5,Card
42,189,28,28,2024-03-23,1,"₦4,000",1200,15,3,Cash
43,99,36,30,2024-02-05,6,"₦13,500",800,25,4,Wallet
48,162,8,27,2024-05-15,6,"₦22,500",500,38,5,Wallet
50,2,26,22,2024-03-26,4,"₦6,600",500,21,4,Card
51,106,29,16,2024-04-13,5,"₦5,200",800,55,5,Wallet
52,145,3,2,2024-04-01,2,"₦2,100",800,36,5,Card
57,120,24,16,2024-01-03,5,"₦13,000",1000,53,3,Card
58,152,2,26,2024-05-12,4,"₦9,900",1500,62,4,Card
59,22,32,17,2024-10-12,3,"₦8,100",1500,73,4,Cash
60,110,23,27,2024-06-05,2,"₦6,300",1500,66,3,Bank Transfer
61,75,19,30,2024-09-20,1,"₦5,000",1200,37,4,Card
64,60,4,29,2024-01-05,4,"₦4,400",1000,50,3,Cash
66,83,29,29,2024-07-01,5,"₦7,800",700,26,5,Wallet
67,87,3,21,2024-01-28,4,"₦19,800",1200,25,5,Wallet
73,47,26,7,2024-03-18,1,"₦4,500",1000,61,5,Bank Transfer
78,32,7,21,2024-03-08,1,"₦7,500",700,47,1,Bank Transfer
83,3,8,29,2024-04-04,3,"₦5,400",700,27,5,Bank Transfer
84,32,35,10,2024-12-11,1,"₦4,500",800,66,4,Cash
86,76,12,8,2024-09-09,2,"₦2,100",700,35,3,Bank Transfer
87,70,39,26,2024-02-06,5,"₦23,400",600,71,3,Wallet
89,93,22,2,2024-03-09,1,"₦7,500",800,72,3,Bank Transfer
91,85,30,30,2024-02-29,3,"₦2,700",700,54,5,Cash
93,149,6,19,2024-02-20,5,"₦6,500",1200,47,4,Wallet
96,61,6,19,2024-11-29,4,"₦9,900",700,70,5,Bank Transfer
97,88,21,28,2024-05-29,2,"₦10,500",1000,30,4,Cash
101,41,4,28,2024-10-08,3,"₦9,000",1200,43,5,Wallet
105,152,15,15,2024-07-16,2,"₦8,400",1200,62,5,Wallet
107,121,21,25,2024-04-06,3,"₦8,100",600,41,4,Wallet
108,183,9,5,2024-10-20,6,"₦27,000",1500,30,4,Card
110,60,6,18,2024-11-06,6,"₦36,000",1500,56,5,Bank Transfer
117,159,12,9,2024-07-21,3,"₦10,800",800,16,2,Bank Transfer
118,58,4,29,2024-11-16,3,"₦3,600",1200,33,3,Bank Transfer
121,45,34,24,2024-12-09,4,"₦11,000",1200,38,4,Card
124,2,23,1,2024-04-13,6,"₦27,000",1500,61,5,Cash
125,36,37,5,2024-02-03,6,"₦27,000",700,28,4,Cash
128,178,18,12,2024-11-20,3,"₦16,200",600,60,4,Card
136,2,19,25,2024-01-28,4,"₦16,500",500,57,5,Bank Transfer
145,33,23,5,2024-12-02,2,"₦8,400",600,61,3,Bank Transfer
146,164,38,9,2024-08-12,2,"₦16,800",600,55,5,Wallet
149,186,26,17,2024-12-02,3,"₦21,600",600,15,2,Bank Transfer
152,149,8,21,2024-01-01,3,"₦5,400",500,42,5,Cash
155,149,30,1,2024-07-08,4,"₦11,000",700,72,5,Wallet
157,176,3,5,2024-11-10,1,"₦7,500",1000,19,5,Wallet
160,104,34,24,2024-09-13,3,"₦6,300",600,39,3,Cash
162,93,36,14,2024-02-28,5,"₦9,100",600,33,3,Bank Transfer
164,165,28,22,2024-12-10,2,"₦2,100",1500,24,1,Card
166,153,25,17,2024-03-09,1,"₦12,000",1200,52,4,Bank Transfer
173,24,14,26,2024-08-29,2,"₦4,900",1500,37,5,Cash
182,158,38,29,2024-04-14,6,"₦7,500",600,62,5,Card
183,153,26,30,2024-10-17,4,"₦6,600",700,42,3,Cash
187,46,31,22,2024-04-28,2,"₦4,200",600,20,3,Wallet
196,41,3,1,2024-05-19,1,"₦4,500",500,17,3,Cash
198,164,6,14,2024-03-03,2,"₦16,800",800,60,4,Cash
200,199,8,12,2024-02-11,3,"₦4,500",1000,58,5,Cash
203,93,2,6,2024-06-01,6,"₦22,500",1200,22,5,Wallet
206,4,8,8,2024-04-27,2,"₦8,400",600,15,4,Card
207,80,13,16,2024-11-16,4,"₦8,800",1500,71,5,Wallet
209,200,30,20,2024-06-20,3,"₦6,300",1000,53,5,Bank Transfer
210,178,4,30,2024-11-04,1,"₦7,500",700,42,1,Card
211,32,29,6,2024-01-15,3,"₦4,500",1500,47,4,Wallet
212,149,17,2,2024-12-09,1,"₦5,000",500,69,1,Cash
214,117,14,25,2024-07-08,6,"₦27,000",1200,63,4,Cash
215,93,27,28,2024-10-08,5,"₦23,400",500,40,4,Bank Transfer
216,143,35,27,2024-08-27,1,"₦6,000",700,19,2,Wallet
217,150,13,18,2024-08-19,3,"₦5,400",1500,72,5,Card
218,99,32,1,2024-02-03,3,"₦10,800",1500,66,5,Card
219,41,1,23,2024-02-04,5,"₦3,900",1200,75,1,Cash
222,192,36,25,2024-09-03,3,"₦4,500",1500,59,3,Bank Transfer
230,121,34,5,2024-10-20,2,"₦4,900",1000,51,4,Cash
231,121,21,22,2024-06-09,4,"₦5,500",1000,60,4,Cash
236,155,10,22,2024-03-04,5,"₦10,400",1500,41,3,Wallet
242,43,16,10,2024-06-09,6,"₦15,000",800,41,5,Bank Transfer
248,197,26,12,2024-11-14,3,"₦9,000",700,69,5,Cash
250,112,36,28,2024-05-05,3,"₦5,400",500,42,4,Bank Transfer
251,145,29,11,2024-05-29,6,"₦13,500",700,38,2,Card
252,107,18,12,2024-07-17,2,"₦2,800",1500,29,5,Wallet
258,159,27,2,2024-11-20,2,"₦2,800",800,44,5,Cash
263,129,27,6,2024-01-04,6,"₦9,000",1200,74,4,Cash
265,87,12,2,2024-10-17,2,"₦10,500",1200,20,3,Bank Transfer
271,30,9,1,2024-05-08,4,"₦5,500",1200,21,5,Wallet
272,112,13,30,2024-03-16,1,"₦3,500",1200,67,4,Cash
274,86,20,18,2024-01-12,3,"₦9,000",800,45,2,Wallet
276,88,22,23,2024-04-21,1,"₦9,000",1200,23,4,Bank Transfer
277,90,26,20,2024-02-15,1,"₦4,500",1500,21,3,Bank Transfer
278,44,40,13,2024-10-23,2,"₦8,400",1200,59,4,Bank Transfer
284,39,33,25,2024-06-04,2,"₦6,300",700,39,3,Card
286,72,27,2,2024-08-19,2,"₦5,600",1200,39,5,Bank Transfer
288,144,37,25,2024-08-18,4,"₦7,700",500,64,5,Cash
290,197,38,6,2024-02-28,4,"₦11,000",600,29,1,Card
292,87,19,20,2024-01-25,1,"₦5,000",1500,49,5,Bank Transfer
293,126,14,23,2024-07-01,5,"₦15,600",600,15,5,Bank Transfer
294,123,37,21,2024-11-10,1,"₦7,500",1200,57,5,Cash
296,32,27,11,2024-05-25,4,"₦26,400",500,74,4,Bank Transfer
302,126,24,29,2024-09-30,3,"₦6,300",700,36,3,Card
303,130,3,3,2024-09-23,1,"₦5,000",800,72,4,Card
305,94,22,28,2024-09-23,5,"₦13,000",1500,21,3,Card
310,163,2,22,2024-09-21,1,"₦3,000",800,27,4,Card
311,110,17,27,2024-01-02,2,"₦2,800",800,21,4,Card
314,72,20,4,2024-06-01,1,"₦6,000",800,29,3,Card
316,177,29,5,2024-10-03,2,"₦12,600",500,27,5,Card
317,48,15,3,2024-05-08,1,"₦9,000",1500,65,5,Wallet
320,164,28,21,2024-10-25,6,"₦6,000",1500,69,5,Bank Transfer
322,112,12,7,2024-11-07,6,"₦12,000",500,49,5,Bank Transfer
323,66,27,11,2024-01-17,5,"₦10,400",500,31,5,Card
325,137,28,3,2024-04-22,2,"₦6,300",1200,35,5,Wallet
330,188,9,25,2024-08-05,3,"₦5,400",800,55,4,Bank Transfer
332,144,10,28,2024-01-11,4,"₦6,600",600,38,5,Bank Transfer
333,164,21,22,2024-03-21,4,"₦8,800",600,61,5,Wallet
334,147,19,8,2024-03-20,5,"₦10,400",700,60,5,Card
335,43,31,4,2024-02-29,3,"₦3,600",1200,63,5,Card
336,37,8,2,2024-05-11,4,"₦6,600",600,22,5,Bank Transfer
341,16,33,9,2024-11-05,2,"₦4,200",700,32,3,Cash
344,167,8,1,2024-04-10,5,"₦3,900",500,35,5,Bank Transfer
345,104,4,7,2024-10-15,2,"₦3,500",1500,32,5,Bank Transfer
346,90,37,21,2024-12-07,2,"₦4,900",600,18,4,Card
349,99,32,18,2024-01-27,3,"₦3,600",1500,63,3,Card
350,180,7,30,2024-08-31,6,"₦9,000",1000,42,3,Cash
353,109,34,30,2024-07-31,3,"₦9,000",500,75,1,Bank Transfer
357,179,28,21,2024-03-07,6,"₦12,000",600,63,2,Cash
